s1,s2,s3,s4,s5,s6
32.1,83.2,82.8,57.7,92.8,92.4
31.7,82.9,82.7,57.7,92.8,92.1
33.1,83.5,82.5,57.9,93,92
37,84.5,82.4,58.1,93.2,91.8
40.9,85.9,82.3,58.2,93.2,91.5
44.4,87.1,82.4,58.4,93.2,91.3
47.3,88.3,82.7,58.6,93.2,91
49.6,89.5,82.9,58.9,93.2,90.8
51,90.3,83.2,59,93.1,90.3
51.8,90.9,83.3,59.2,93,89.8
52.3,91.2,83.6,59.3,92.9,89.5
53.2,91.3,83.6,59.5,92.7,89.7
55.1,91.8,83.6,59.5,92.7,89.8
58,92.8,83.3,59.5,92.8,89.9
61.5,93.8,82.8,59.3,92.9,89.9
64.5,94.5,82.3,59.1,93.1,89.8
67.1,95.3,81.8,58.9,93.1,89.4
69.1,96.1,81.3,58.2,93.2,88.8
71,96.7,80.8,57.2,93.2,88.3
72.8,140.4,80.3,56,93.3,87.7
74.2,167.9,79.8,54.6,93.4,87.2
75.5,186.1,79.3,52.8,93.6,86.7
76.5,200.6,79.2,51.5,93.6,86.1
77.2,218,78.9,50.7,93.7,85.9
77.6,228,78.7,49.9,93.7,85.6
77.9,236.1,78.4,49.2,93.7,85.4
78.1,235.1,77.9,48.4,93.6,85
78.4,244.7,77.4,48.1,93.7,85
78.3,245.1,77.3,48,93.8,85.1
78,236.8,77.6,48.4,93.9,85.6
77.3,230.9,78.2,50,93.9,86.2
76,183.1,78.8,51.9,93.7,86.8
74.4,152.1,79.5,53.5,93.6,87.5
72.7,132,80.3,55.3,93.4,88.2
70.6,118.6,81.1,56.6,93.2,88.8
68.4,109.8,81.9,57.6,93,89.3
66.4,103.8,82.5,58.2,92.9,89.7
65,99.8,83,58.7,92.8,90
64,97.4,83.2,58.9,92.7,89.7
63.5,95.9,83.1,58.6,92.9,89.5
63.2,94.8,83.1,58.6,93,89.3
63.4,94.3,83.1,58.6,93,89.2
63.3,93.7,83.2,58.6,93.1,89.1
62.6,93,83.2,59,93.1,89.4
61.3,92.2,83.4,59.3,93.1,89.8
59.2,91.2,83.7,59.7,93.1,90.3
55.7,89.8,83.9,59.9,92.8,90.7
51.4,88,84,60.1,92.5,91.2
44.5,86.1,84.3,60.2,92.1,91.2
37.7,83.7,84.4,60.1,91.5,91
31.6,80.9,84.4,59.7,91,91.1
26.8,78.5,84.4,59.6,90.8,90.9
24.2,77.1,84.5,59.5,90.6,90.9
23.6,76.9,84.6,59.4,90.5,90.8
24.8,77.2,84.6,59.4,90.4,90.8
26.2,77.8,84.6,59.6,90.5,91.2
27.1,78.1,84.5,59.7,90.6,91.8
26.1,77.2,84.5,59.8,90.6,92.3
24.1,75.6,84.5,59.8,90.5,92.6
22.5,74.5,84.4,59.8,90.4,92.8
21.2,74.2,84.4,59.8,90.4,93
20.9,75,84.5,59.8,90.5,93.2
24.9,77.3,84.5,59.9,90.8,93.1
32.4,79.9,84.1,59.7,91.3,92.7
42.5,82.6,82.2,58.6,91.9,92.2
52.1,85.4,80.2,57.8,92.8,91.2
59.2,87.9,78.5,57.4,93.6,90.3
64.1,90.1,77.5,57.2,93.8,90
67.7,91.8,77,57,93.9,89.7
70.3,93.2,76.7,56.8,93.9,89.5
72.3,94.2,76.2,56.5,94,89.2
73.7,94.8,75.5,56.4,94.2,88.8
75,95.6,74.9,55.9,94.2,88.6
