s1,s2,s3,s4,s5,s6
31.5,90.8,85.5,72.7,93.9,68.1
31,90.8,85.3,72.7,93.9,68
30.3,90.7,85.3,72.6,93.9,68.3
29.5,90.6,85.5,72.6,94.1,68.5
29,90.5,85.3,72.6,94.1,68.4
28.2,90.3,85.3,72.6,94.1,68.6
27.7,90.3,85.2,72.5,94.2,68.8
27.3,90.2,85.1,72.5,94.3,68.9
27.1,90.3,84.9,72.5,94.3,69
27,90.2,84.9,72.4,94.4,69
26.8,90.2,85,72.4,94.4,69
26.5,90.1,84.8,72.4,94.5,69.2
26,90,84.7,72.4,94.4,69.3
25.6,89.8,84.6,72.2,94.6,69.6
25.1,89.7,84.5,72.2,94.6,69.9
24.2,89.7,84.6,72.1,94.7,70.2
22.9,89.5,84.5,72.3,94.8,70.4
21.6,89.4,84.3,72.4,94.9,70.9
20.4,89.3,84.3,72.3,94.8,71.3
19.5,89.2,84.3,72.3,94.7,71.3
19.2,89,84.1,72.2,94.7,71.5
19.5,89.1,83.9,72.1,94.7,71.4
20.1,89.1,84.1,72,94.6,71.2
20.9,89.2,84,71.9,94.6,71
21.6,89.2,84.2,71.9,94.6,70.7
22.6,89.4,84.2,72,94.8,70.7
23.2,89.5,84.3,72,94.7,70.7
23.2,89.5,84.3,72.1,94.7,70.8
22.9,89.2,84.4,72,94.8,70.8
22.7,89,84.3,72.1,94.8,70.8
22.6,88.7,84.2,72.1,94.7,70.9
22.6,88.6,84.2,72.2,94.8,70.7
22.7,88.5,84.2,72.1,94.7,70.6
23,88.6,84.4,72,94.7,70.5
23.7,88.8,84.5,71.9,94.7,70.4
24.3,89.1,84.6,72,94.6,70.3
24.9,89.3,84.7,72.2,94.6,70.2
25.4,89.6,84.7,72.3,94.5,70
25.9,89.8,84.7,72.3,94.5,69.9
26.8,89.9,84.9,72.4,94.3,69.7
28.2,90.2,84.8,72.3,94.2,69.3
29.9,90.5,85,72.5,94.2,68.8
31.8,90.8,85.3,72.4,94.1,68.3
33.6,90.9,85.4,72.6,93.8,67.7
35.4,91.3,85.5,72.7,93.8,67.2
36.6,91.4,85.6,72.7,93.7,66.9
37.6,91.5,85.7,72.8,93.6,66.7
38.2,91.8,85.7,72.9,93.5,66.6
38.7,91.8,85.8,73,93.5,66.6
38.9,91.8,85.8,73,93.4,66.6
38.6,91.8,85.9,73,93.5,66.6
38.5,91.6,86,72.9,93.5,66.6
38.4,91.5,85.9,73,93.5,66.6
38.4,91.4,86.1,73,93.5,66.5
38.6,91.5,86.1,73.1,93.4,66.4
38.8,91.6,86,73.2,93.3,66.3
38.8,91.6,86.2,73.2,93.3,66.3
38.9,91.5,86.3,73.2,93.2,66.4
39,91.7,86.3,73.3,93.1,66.3
39.1,91.8,86.3,73.3,93.2,66.4
39.1,91.9,86.6,73.4,93.1,66.6
39.2,92,86.7,73.5,93.2,66.6
39.5,92,86.7,73.6,93,66.7
39.8,92.2,86.6,73.7,92.9,66.7
40.5,92.3,86.8,73.7,93,66.5
41.9,92.2,86.8,73.8,92.9,66.4
43.3,92.4,86.8,73.8,92.9,66.3
44.6,92.5,86.8,73.8,92.8,66.2
45.7,92.6,87,73.9,92.8,65.9
46.7,92.7,87,73.9,92.7,65.7
47.9,92.9,87.1,73.9,92.7,65.5
49.1,92.9,87.2,73.9,92.4,65.2
50.1,93,87,74,92.6,65.1
50.7,93,87.1,74,92.5,65
51.2,93,87.1,74.1,92.5,65
51.8,92.9,87.2,74.1,92.6,65
52.2,93,87.2,74.1,92.5,65.1
52.5,93,87.1,74,92.4,65.1
52.8,93,87.1,74,92.5,65.3
53,93.1,87.1,74,92.6,65.5
53.1,93,87,74,92.7,65.7
53.2,93,87.1,74.1,92.7,65.7
53.3,92.9,87.1,74,92.7,65.9
53.2,93,87,74.1,92.8,66
53.3,93.1,87,74.1,92.7,66.1
53,93,86.9,74.1,92.7,66.2
53,93.1,86.8,74,92.8,66.3
52.9,93.1,86.8,74,93,66.4
52.7,93.1,86.8,74,93,66.4
52.6,93.1,86.7,74,93,66.5
52.6,93,86.6,74,93.1,66.7
52.5,92.9,86.6,74.1,93,66.7
52.6,92.9,86.5,74,93,66.9
52.6,92.9,86.5,73.9,92.9,66.7
52.7,92.9,86.4,73.9,93,66.6
52.9,92.9,86.5,73.8,93,66.7
52.9,93,86.4,73.7,93,66.7
52.8,93.1,86.3,73.7,93,66.7
52.5,93,86.4,73.7,93,66.8
52.2,92.8,86.3,73.7,93,66.9
51.8,92.9,86.3,73.6,93.2,67.1
51.6,92.8,86.1,73.6,93.4,67.2
51.4,92.8,86.2,73.6,93.4,67.3
51.2,92.8,86.2,73.5,93.4,67.3
51.2,92.7,86.2,73.5,93.4,67.1
51.2,92.8,86.2,73.5,93.4,67
51.1,92.9,86.4,73.5,93.4,67
51.2,92.9,86.3,73.4,93.7,67.1
51.1,92.9,86.3,73.5,93.7,66.9
50.9,92.9,86.4,73.5,93.7,67
50.9,92.9,86.4,73.5,93.7,67.1
50.8,92.9,86.3,73.4,93.7,67.1
50.8,92.8,86.1,73.2,93.5,67.1
50.8,92.8,86.2,73.1,93.6,67.1
50.6,92.7,86.2,73.2,93.4,67
50.4,92.8,86.1,73.3,93.5,67
50.3,92.7,86.2,73.4,93.7,67.2
49.8,92.6,86.2,73.3,93.7,67.2
49.3,92.7,86.2,73.3,93.7,67.1
49,92.7,86.2,73.4,93.7,67.1
48.6,92.5,86.2,73.3,93.7,67.2
48.3,92.4,86.2,73.4,93.7,67.2
48,92.2,86,73.4,93.7,67.3
47.8,92.3,86.1,73.4,93.6,67.3
47.7,92.1,86,73.3,93.5,67.3
47.5,92.2,86,73.2,93.5,67.3
47,92.3,86,73.1,93.5,67.3
46.6,92.3,86,73.2,93.6,67.4
46.3,92.2,86.1,73.3,93.6,67.3
46,92.3,86.2,73.3,93.6,67.3
46.2,92.3,86.2,73.2,93.5,67.4
46.3,92.1,86.1,73.3,93.4,67.3
46.8,92.1,86.1,73.3,93.6,67.1
47,92.2,86.2,73.5,93.6,67.2
47.2,92.2,86.3,73.5,93.4,67.3
47.3,92.2,86.1,73.5,93.4,67.3
47.3,92.3,86.3,73.5,93.6,67.4
47.3,92.2,86.4,73.5,93.7,67.4
47.3,92.3,86.4,73.6,93.5,67.4
47.4,92.4,86.3,73.6,93.5,67.4
