s1,s2,s3,s4,s5,s6
73.8,94,71.8,77.4,89.6,68.1
74.3,94.1,72.5,77.6,89.3,67.7
75.2,94.4,72.7,77.2,89,67
76.1,94.7,72.3,76.8,88.9,65.9
77.2,95,71.5,76.3,89,64.8
78.1,95.2,70.2,75.8,89,63.6
79.1,95.4,68.5,75.1,89,61.7
80.2,95.6,66.1,73.9,89,58.7
81.4,95.8,63.2,72.2,89,56
82.7,96,60.6,70.2,89.2,53.4
83.7,96.2,57.7,68.3,89.1,50.9
84.6,96.5,54.3,66.4,89.1,48.5
85.4,96.6,50.6,64.9,89.1,46.2
86.1,96.7,47.4,63.6,89.1,44.2
86.6,96.8,44.2,62,89.2,42.3
87.2,97,41,60.5,89.2,40.2
87.6,97.1,37.2,59.2,89.3,37.7
88.1,97.1,33.8,57.9,89.3,35.1
88.4,97.2,30.4,56.5,89.2,32
88.7,97.3,28,55.5,89.1,29.9
88.9,97.4,26.3,54.8,89,28.3
89.1,97.2,24.7,54.3,88.8,27.6
89.4,97.2,23.5,53.9,88.8,28
89.4,97.3,22.4,53.8,88.7,29.4
89.6,97.1,21.6,53.6,88.8,30.6
89.7,97.2,20.9,53.7,88.9,31.6
89.8,97,20,53.4,88.8,32.2
90,97,18.8,53.2,89,32.8
90,97,18,53.1,89.1,33.3
90.1,96.9,17.4,52.8,89.1,33.6
90.1,96.9,17.1,52.8,89.2,33.9
90,96.8,17.8,53.2,89.3,34.5
90,96.6,19.3,54.5,89.2,35.6
89.8,96.5,22,56.2,88.9,37
89.8,96.4,25.1,57.8,88.7,38.1
89.9,96.5,27.3,58.7,88.5,38.8
89.9,96.5,28.6,59.4,88.4,39.1
89.9,96.6,29.7,59.9,88,39.2
89.8,96.5,30.5,60.2,87.9,39
89.9,96.4,31.1,60.3,87.7,38.9
89.9,96.5,31.2,60,87.7,38.4
90.1,96.7,30.1,59.5,87.8,37.2
90.2,96.7,28.5,58.9,87.8,35.4
90.3,96.6,26.9,58.6,87.8,33.8
90.4,96.6,25.8,58.3,87.9,32.7
90.3,96.7,24.8,57.9,87.9,32
90.2,96.6,24,57.9,88.1,32
90.2,96.6,23.5,58,88.3,32.5
90.2,96.6,23.4,58.2,88.4,33.2
90.2,96.5,24,58.8,88.2,33.9
90.2,96.4,25.2,59.9,88.2,35
90,96.5,26.2,60.6,88.3,36.4
90,96.5,26.7,61.1,88.5,37.7
89.9,96.3,26.9,61.4,88.7,38.9
89.9,96.4,27,61.6,88.8,39.6
89.9,96.2,27,61.7,89,40.3
89.7,96.2,27.3,62,89,41
89.6,96.2,28.9,62.9,89,42
89.5,96,31.5,64.5,88.9,42.7
89.1,95.7,34.6,66,88.6,43.4
89,95.7,37.5,67.3,88.5,43.9
88.8,95.5,39.7,68.1,88.6,44.6
88.7,95.3,41.5,68.9,88.5,45.2
88.6,95.2,42.9,69.5,88.5,45.4
88.7,95.1,43.7,69.8,88.4,45.6
88.7,95.1,44.6,70.2,88.5,45.8
88.7,95.1,45.6,70.6,88.5,46
88.7,95,46.6,71,88.4,46.2
88.6,94.9,47.6,71.2,88.5,46.5
88.5,95,48.6,71.5,88.4,46.8
88.3,95,49.6,71.8,88.5,47.1
88.2,95,50.8,72.1,88.5,47.4
88.2,95,51.9,72.3,88.5,47.8
87.9,94.8,53,72.5,88.5,48.4
87.9,94.9,54,72.8,88.5,49.2
87.7,95,55,73.3,88.4,50
87.5,94.9,55.9,73.6,88.5,50.7
87.3,94.9,56.7,73.9,88.5,51.4
87.4,95,57.5,74.3,88.6,51.8
87.4,95,58.3,74.7,88.6,52.3
87.4,95,59.4,74.8,88.5,52.5
87.4,94.9,61.3,75.1,88.1,52.8
87.1,94.8,64.4,75.9,87.5,54
86.4,94.1,68.3,76.7,86.3,55.4
84.7,93.4,72.6,77.6,84.4,56.6
