s1,s2,s3,s4,s5,s6
79.1,97.6,82.1,39.4,92.1,97.3
79.2,97.5,82.2,39.6,92.1,97.3
79.1,97.6,82.4,39.8,92,97.3
79.2,97.5,82.6,40.1,91.9,97.3
79.2,97.5,82.6,40.2,91.9,97.4
79.2,97.4,82.7,40.4,91.6,97.4
79.3,97.4,82.8,40.6,91.6,97.2
79.3,97.4,82.8,40.8,91.6,97.4
79.4,97.4,83.1,40.9,91.4,97.3
79.4,97.3,83.2,41,91.4,97.4
79.6,97.4,83.4,41,91.3,97.2
79.6,97.4,83.4,41.1,91.3,97.1
79.6,97.5,83.5,41.1,91.3,97.2
79.8,97.4,83.6,41.2,91.3,97.2
79.7,97.4,83.8,41.1,91.2,97.1
79.7,97.4,83.8,41.1,91.1,97
79.8,97.5,83.9,41,91.2,96.8
79.8,97.5,83.9,40.9,91,96.7
79.7,97.5,84,41,91.1,96.8
79.7,97.6,84,41.1,91,96.8
79.6,97.6,84,41.1,91,96.9
79.5,97.5,84,41,91,96.8
79.4,97.7,84.1,41.1,91,96.8
79.4,97.6,84.2,41,91,96.7
79.4,97.6,84.1,40.9,91.1,96.8
79.4,128.9,84.2,40.9,91,96.7
79.5,117.8,84.2,40.8,91.1,96.7
79.5,110.5,84.1,40.9,91.1,96.7
79.3,105.9,84.1,40.9,91.1,96.7
79.3,102.9,84,40.9,91.2,96.8
79.4,101.1,84.1,40.9,91.1,96.9
79.4,99.9,84.1,40.9,91.1,96.8
79.4,99.1,84,40.9,91.2,96.8
79.4,98.6,84,40.9,91.1,96.7
79.3,98.3,84,41,91,96.7
79.3,131.6,84,41,91,96.6
79.4,119.4,84,41.1,91,96.6
79.3,111.5,84.2,41,91.1,96.5
79.3,106.5,84.1,41,91.1,96.5
79.5,103.4,84.2,41,91.2,96.6
79.4,101.3,84.2,41,91.1,96.5
79.4,100.1,84.1,41,91.1,96.6
79.5,133.4,84.1,41,91,96.6
79.4,120.7,84.2,41.1,90.9,96.6
79.4,143.7,84.1,41,90.9,96.5
79.6,127.3,84.1,40.9,90.9,96.5
79.7,148.5,84.1,40.8,91,96.5
79.7,130.4,84,40.7,91,96.5
79.7,118.6,84,40.7,90.9,96.5
79.6,111.2,84.2,40.7,91,96.5
79.6,106.4,84,40.7,90.9,96.5
79.7,103.3,83.9,40.7,90.9,96.4
79.8,132,83.9,40.4,91,96.4
79.8,119.7,84,40.3,91,96.4
80,111.7,83.9,40.2,90.9,96.4
79.9,137.4,83.9,40.2,90.9,96.4
80,123.1,83.9,40.1,91,96.4
79.9,114.1,83.8,40.1,91,96.4
79.9,108.3,83.8,40,91,96.3
79.9,104.6,83.8,39.9,91,96.4
80,132.8,83.7,39.9,91.1,96.3
79.8,120.3,83.7,39.9,91.2,96.3
79.7,112.2,83.7,39.9,91.3,96.4
79.6,142.3,83.7,39.9,91.3,96.6
79.5,126.2,83.4,39.9,91.3,96.8
79.5,116,83.4,39.9,91.4,96.8
79.5,109.4,83.4,40,91.4,96.8
