s1,s2,s3,s4,s5,s6
17.2,69.3,79.6,73.8,97.6,379.2
18.6,70.9,79.9,73.7,97.7,375.2
19.8,72.6,80.1,73.9,97.6,373.1
21.2,74.5,80.1,73.9,97.6,366
23,76.1,80.4,74,97.5,368.4
24.5,77.5,80.5,74,97.5,366.5
25.8,78.6,80.6,74.1,97.6,362.4
26.7,79.2,80.9,74.2,97.6,362.6
27.1,79.8,81,74.1,97.6,358.7
27.3,80,81.2,74.1,97.6,358.5
27.3,80.1,81.2,74.1,97.4,357.8
27.4,80.3,81.2,74.2,97.5,358
27.6,80.6,81.2,74.1,97.4,356.9
28.3,81,81.3,74.1,97.4,363.7
29,81.6,81.3,74.2,97.5,357.1
29.6,82.3,81.3,74.1,97.5,360.4
30,82.7,81.4,74.1,97.6,363.1
30.4,83.1,81.5,74.2,97.6,365.3
30.7,83.4,81.5,74.2,97.7,361.6
30.9,83.5,81.3,74.3,97.6,361.6
31.1,83.8,81.3,74.3,97.7,355.8
31.3,83.9,81.5,74.4,97.6,352.6
31.4,84.1,81.6,74.4,97.6,358.6
31.5,84.2,81.4,74.3,97.6,353.3
31.6,84.5,81.3,74.2,97.7,347
31.7,84.7,81.3,74.4,97.6,348.2
31.9,84.7,81.3,74.3,97.6,346
32.2,84.9,81.2,74.4,97.4,351
32.4,85,81,74.2,97.5,351.3
32.5,85.2,81.1,74.1,97.6,349.1
32.6,85.3,81.1,74.2,97.6,351.8
32.6,85.2,81.1,74.3,97.5,345.5
32.8,85.3,81.1,74.3,97.5,348.9
33.1,85.5,81,74.4,97.5,348.2
33.4,85.6,81,74.5,97.5,348.3
34,86.1,81.1,74.6,97.4,352.4
34.5,86.6,81,74.4,97.4,347
34.9,87.1,81.1,74.6,97.5,341.3
35.3,87.5,81.1,74.6,97.4,342.2
35.4,87.8,81.2,74.7,97.4,338.1
35.9,87.8,81.3,74.6,97.4,339.6
36.2,88.1,81.3,74.6,97.4,340.5
36.7,88.6,81.3,74.6,97.3,349.1
37.3,89.1,81.6,74.6,97.2,350.7
38.4,89.7,81.7,74.6,97.3,345.3
39.6,90.3,81.8,74.7,97.1,339.6
