s1,s2,s3,s4,s5,s6
63,92.5,77.5,72.4,91.1,90.6
67.5,92.6,76.7,71.6,91.4,89.7
73,93.6,72.5,70.3,91.1,87.3
74.5,93.6,69.9,69.2,90.8,85.3
74.8,93.9,68.7,68.6,90.6,85.4
74.8,94.2,67.6,68.2,90.5,84.9
75.1,94,68.6,68.6,90.6,85.8
76,93.8,67.8,68.5,90,85.1
75.5,94.1,65.1,67.8,90.2,84.7
74.7,94.1,65.4,68,90.4,84.9
74.8,93.8,64.6,67.6,90.7,85.3
74.1,93.7,63.7,67.5,90.9,86
72.4,93.8,62.2,67.3,91.4,86.5
72,93.5,62.2,67,91.2,87.1
71.7,93.4,63.9,67.6,91.5,87.3
71.4,93.6,63.9,67.4,91.5,88.2
71.4,93.3,63.5,67.5,91.9,88.3
71,93.3,61.9,67,92.1,88.5
70.1,93,58.5,66.3,91.9,88.3
69.2,93.3,56.3,66.1,92.3,88.6
68.4,92.9,51.7,65.8,92.3,88.5
67.3,93.4,49.1,65.4,92.5,87.8
68.4,93.3,50.6,65.2,92.4,87.5
70.6,93.4,54.6,66.2,91.8,88.4
72.4,93.1,58.7,67.2,91.7,89.8
74.1,92.7,70.3,70.7,92.1,92.8
70.6,92.2,68.5,70.2,92.6,94
66.8,91.7,68.4,69.8,93,94.2
65.7,91.3,69.7,69.9,93.1,94.6
66.1,91.4,71.4,69.9,93.1,93.9
71.3,91.9,74.9,71.6,92.2,92.9
77,93.1,78.2,72.4,90.9,91.1
77.5,92.9,79.4,72.6,91.1,92
74.9,92,79.1,72.6,91.6,93
73.4,92,80.6,73.1,91.8,94.3
71.6,91.2,81.1,72.3,91.8,94.4
71.2,91.5,81.4,72.9,91.9,94.6
72.3,91.1,81.8,72.5,91.6,94.5
72.6,91.2,81.2,72.1,92.1,94.7
70.8,90.4,79.5,70.1,92.2,95.4
68.4,89.5,73.5,66.8,92,95.7
61.1,87.5,57.6,62.5,92.9,96.2
46.5,84.9,37,56.9,92.3,95.4
35.6,82,7.9,48.6,90.6,92.1
6.9,75.1,0,34.4,83.7,85.7
0,16.5,0,9.2,55.8,29.8
